"RegionID","SizeRank","RegionName","RegionType","StateName","State","City","Metro","CountyName","2000-01-31","2000-02-29","2000-03-31","2000-04-30","2000-05-31","2000-06-30","2000-07-31","2000-08-31","2000-09-30","2000-10-31","2000-11-30","2000-12-31"
66048,30807,"19731",Zip,DE,DE,Port Penn,Philadelphia-Camden-Wilmington,New Castle County,"","","","","","","","","","","",""
77481,30807,"45164",Zip,OH,OH,Port William,Wilmington,Clinton County,"","","","","","","","","","","",""
75406,30807,"39737",Zip,MS,MS,Walthall,"",Webster County,"","","","","","","","","","","",""
83458,30807,"58001",Zip,ND,ND,Wahpeton,Wahpeton,Richland County,"","","","","","","","","","","",""
63838,30807,"15020",Zip,PA,PA,Forward Township,Pittsburgh,Allegheny County,"","","","","","","","","","","",""
83413,30807,"57725",Zip,SD,SD,Caputa,Rapid City,Pennington County,"","","","","","","","","","","",""
87987,30835,"68416",Zip,NE,NE,Ohiowa,"",Fillmore County,"","","","","","","","","","","",""
63193,30835,"13632",Zip,NY,NY,Depauville,Watertown-Fort Drum,Jefferson County,"","","","","","","","","","","",""
82919,30835,"56543",Zip,MN,MN,Foxhome,Wahpeton,Wilkin County,"","","","","","","","","","","",""
77590,30835,"45328",Zip,OH,OH,Gettysburg,Greenville,Darke County,75023.0,75293.0,75454.0,76091.0,76588.0,77367.0,77877.0,78706.0,78877.0,79092.0,79227.0,79547.0
87452,30835,"67073",Zip,KS,KS,Lehigh,"",Marion County,"","","","","","","","","","","",""
78806,30835,"47871",Zip,IN,IN,Terre Haute,Terre Haute,Vigo County,"","","","","","","","","","","",""
93565,30835,"80830",Zip,CO,CO,Matheson,Denver-Aurora-Lakewood,Elbert County,"","","","","","","","","","","",""
78680,30835,"47580",Zip,IN,IN,Schnellville,Jasper,Dubois County,"","","","","","","","","","","",""
76554,30835,"43151",Zip,OH,OH,Midway,Columbus,Madison County,"","","","","","","","","","","",""
76801,30835,"43717",Zip,OH,OH,Belle Valley,"",Noble County,"","","","","","","","","","","",""
86091,30835,"63538",Zip,MO,MO,Elmer,"",Macon County,"","","","","","","","","","","",""
80373,30868,"50470",Zip,IA,IA,Rowan,"",Wright County,"","","","","","","","","","","",""
62821,30868,"12886",Zip,NY,NY,Town of Whitehall,Glens Falls,Washington County,"","","","","","","","","","","",""
89767,30868,"72827",Zip,AR,AR,Bluffton,Russellville,Yell County,"","","","","","","","","","","",""
82743,30868,"56276",Zip,MN,MN,Odessa,"",Big Stone County,"","","","","","","","","","","",""
87031,30868,"66008",Zip,KS,KS,Bendena,St. Joseph,Doniphan County,"","","","","","","","","","","",""
99990,30868,"98834",Zip,WA,WA,Methow,"",Okanogan County,"","","","","","","","","","","",""
71700,30868,"31821",Zip,GA,GA,Omaha,"",Stewart County,"","","","","","","","","","","",""
80639,30868,"51231",Zip,IA,IA,Archer,"",O Brien County,"","","","","","","","","","","",""
80920,30868,"52257",Zip,IA,IA,Luzerne,Cedar Rapids,Benton County,"","","","","","","","","","","",""
88169,30868,"68785",Zip,NE,NE,Waterbury,Sioux City,Dixon County,"","","","","","","","","","","",""
92158,30868,"77950",Zip,TX,TX,Austwell,"",Refugio County,"","","","","","","","","","","",""
88377,30868,"69214",Zip,NE,NE,Johnstown,"",Brown County,"","","","","","","","","","","",""
100110,30892,"99135",Zip,WA,WA,Hartline,Moses Lake,Grant County,"","","","","","","","","","","",""
93905,30892,"82324",Zip,WY,WY,Elk Mountain,"",Carbon County,"","","","","","","","","","","",""
87413,30892,"67023",Zip,KS,KS,Cambridge,Arkansas City-Winfield,Cowley County,"","","","","","","","","","","",""
59473,30892,"04408",Zip,ME,ME,Great Pond,"",Hancock County,"","","","","","","","","","","",""
90420,30892,"74463",Zip,OK,OK,Taft,Muskogee,Muskogee County,30210.0,30863.0,31123.0,31387.0,31138.0,30701.0,31081.0,30974.0,31130.0,31260.0,32124.0,33372.0
82899,30892,"56519",Zip,MN,MN,Borup,"",Norman County,"","","","","","","","","","","",""
90144,30892,"73727",Zip,OK,OK,Carrier,Enid,Garfield County,"","","","","","","","","","","",""
87305,30892,"66758",Zip,KS,KS,Neosho Falls,"",Woodson County,"","","","","","","","","","","",""
68395,30892,"24984",Zip,WV,WV,Waiteville,"",Monroe County,"","","","","","","","","","","",""
78122,30892,"46379",Zip,IN,IN,Lake Village,Chicago-Naperville-Elgin,Newton County,"","","","","","","","","","","",""
87475,30892,"67131",Zip,KS,KS,Rock,Arkansas City-Winfield,Cowley County,"","","","","","","","","","","",""
86829,30892,"65529",Zip,MO,MO,Jerome,Rolla,Phelps County,"","","","","","","","","","","",""
80598,30892,"51029",Zip,IA,IA,Larrabee,"",Cherokee County,"","","","","","","","","","","",""
61055,30892,"08329",Zip,NJ,NJ,Commercial Township,Vineland-Bridgeton,Cumberland County,"","","","","","","","","","","",""
67470,30892,"22976",Zip,VA,VA,Roseland,Charlottesville,Nelson County,86332.0,84842.0,85438.0,85712.0,87136.0,87520.0,89619.0,92725.0,95416.0,95766.0,95992.0,96193.0
100291,30939,"99605",Zip,AK,AK,Hope,"",Kenai Peninsula Borough,"","","","","","","","","","","",""
86398,30939,"64166",Zip,MO,MO,Kansas City,Kansas City,Jackson County,"","","","","","","","","","","",""
96566,30939,"91948",Zip,CA,CA,Mount Laguna,San Diego-Carlsbad,San Diego County,"","","","","","","","","","","",""
